ts,price,size,side,trade_id
'2025-05-21 19:35:28.627,107540,0.00080242,sell,740864247
'2025-05-21 19:35:28.627,107539.8,0.00040636,sell,740864248
'2025-05-21 19:35:28.627,107538.6,0.00001,sell,740864249
'2025-05-21 19:35:29.094,107537.1,0.00093,buy,740864250
'2025-05-21 19:35:30.107,107537.1,0.3336,buy,740864257
'2025-05-21 19:35:30.108,107537.1,0.07154927,buy,740864258
'2025-05-21 19:35:30.110,107537.1,0.13682954,buy,740864259
'2025-05-21 19:35:30.110,107537.1,0.0617,buy,740864260
'2025-05-21 19:35:30.110,107537.1,0.02622968,buy,740864261
'2025-05-21 19:35:30.111,107537.1,0.0315,buy,740864262
'2025-05-21 19:35:30.111,107537.1,0.0237,buy,740864263
'2025-05-21 19:35:30.112,107537.1,0.0617,buy,740864264
'2025-05-21 19:35:30.113,107537.1,0.001,buy,740864265
'2025-05-21 19:35:30.127,107537.1,0.00054649,buy,740864267
'2025-05-21 19:35:30.172,107539.6,0.00104,sell,740864269
'2025-05-21 19:35:30.197,107539.7,0.00053234,buy,740864271
'2025-05-21 19:35:30.197,107540,0.00001,buy,740864272
'2025-05-21 19:35:30.247,107544,0.00040017,buy,740864273
'2025-05-21 19:35:30.647,107545.2,0.00168928,buy,740864275
'2025-05-21 19:35:30.765,107545.8,0.07611839,buy,740864276
'2025-05-21 19:35:30.765,107545.8,0.15258698,buy,740864277
'2025-05-21 19:35:30.777,107550,0.00080242,buy,740864280
'2025-05-21 19:35:30.787,107558.1,0.0009,buy,740864281
'2025-05-21 19:35:30.787,107558.9,0.00001501,buy,740864282
'2025-05-21 19:35:30.957,107560,0.00100586,buy,740864286
'2025-05-21 19:35:30.997,107569.6,0.00001501,buy,740864287
'2025-05-21 19:35:30.997,107570,0.00080242,buy,740864290
'2025-05-21 19:35:31.152,107570.6,0.00841772,buy,740864291
'2025-05-21 19:35:31.219,107570.5,0.00187066,sell,740864292
'2025-05-21 19:35:31.305,107570.6,0.26410811,buy,740864301
'2025-05-21 19:35:31.437,107572,0.00026048,buy,740864303
'2025-05-21 19:35:31.477,107573.8,0.00001136,buy,740864304
'2025-05-21 19:35:31.477,107573.9,0.00001136,buy,740864305
'2025-05-21 19:35:31.613,107579.7,0.72857372,sell,740864316
'2025-05-21 19:35:32.666,107579.7,0.00019,sell,740864317
'2025-05-21 19:35:34.848,107579.8,0.00560956,buy,740864322
'2025-05-21 19:35:34.848,107580,0.00080242,buy,740864325
'2025-05-21 19:35:34.917,107582.1,0.00336106,buy,740864327
'2025-05-21 19:35:34.917,107587.9,0.0009,buy,740864328
'2025-05-21 19:35:34.932,107587.9,0.0023909,sell,740864329
'2025-05-21 19:35:35.287,107587.9,0.00054647,sell,740864331
'2025-05-21 19:35:35.506,107587.8,0.00022647,sell,740864333
'2025-05-21 19:35:35.517,107580,0.00001,sell,740864334
'2025-05-21 19:35:35.517,107579.7,0.00095,sell,740864335
'2025-05-21 19:35:35.826,107577.1,0.0019,buy,740864337
'2025-05-21 19:35:36.318,107577,0.00001007,sell,740864338
'2025-05-21 19:35:37.267,107577.1,0.00005647,buy,740864340
'2025-05-21 19:35:37.317,107580,0.00001,buy,740864341
'2025-05-21 19:35:37.467,107580.1,0.00004647,buy,740864342
'2025-05-21 19:35:38.296,107581.4,0.00851248,buy,740864344
'2025-05-21 19:35:38.937,107587.4,0.00037188,sell,740864345
'2025-05-21 19:35:40.501,107587.4,0.68083346,sell,740864356
'2025-05-21 19:35:40.501,107586.7,0.01239667,sell,740864357
'2025-05-21 19:35:40.501,107586.6,0.02282223,sell,740864358
'2025-05-21 19:35:40.501,107586,0.0185,sell,740864359
'2025-05-21 19:35:40.501,107582.4,0.05013461,sell,740864360
'2025-05-21 19:35:40.501,107581.7,0.04671754,sell,740864361
'2025-05-21 19:35:40.501,107581.3,0.08050083,sell,740864363
'2025-05-21 19:35:40.501,107580.6,0.01054136,sell,740864364
'2025-05-21 19:35:40.501,107580,0.06171,sell,740864367
'2025-05-21 19:35:40.501,107579.9,0.07048014,sell,740864368
'2025-05-21 19:35:40.501,107579.3,0.00095,sell,740864369
'2025-05-21 19:35:40.501,107579.1,0.0432,sell,740864370
