ts,price,size,side,trade_id
'2025-05-21 19:35:30.112,0.22755,183.173493,buy,349239994
'2025-05-21 19:35:30.770,0.22757,26.452187,buy,349239995
'2025-05-21 19:35:30.782,0.22759,15,buy,349239996
'2025-05-21 19:35:30.938,0.22759,191,sell,349239999
'2025-05-21 19:35:30.984,0.2276,10,buy,349240000
'2025-05-21 19:35:31.022,0.22765,10.000001,buy,349240002
'2025-05-21 19:35:31.022,0.22765,10.000001,buy,349240003
'2025-05-21 19:35:31.028,0.22765,10.000001,buy,349240004
'2025-05-21 19:35:31.028,0.22765,10.000001,buy,349240005
'2025-05-21 19:35:31.104,0.22763,2196.450535,sell,349240006
'2025-05-21 19:35:32.175,0.2276,10,sell,349240007
'2025-05-21 19:35:32.175,0.22759,990,sell,349240008
'2025-05-21 19:35:32.175,0.22759,2000,sell,349240009
'2025-05-21 19:35:32.176,0.22759,2190,sell,349240010
'2025-05-21 19:35:33.312,0.2276,10,buy,349240011
'2025-05-21 19:35:35.023,0.22759,26.588631,buy,349240012
'2025-05-21 19:35:35.023,0.2276,10,buy,349240013
'2025-05-21 19:35:35.351,0.2276,293.77863,sell,349240015
'2025-05-21 19:35:37.265,0.22758,212.679327,buy,349240016
'2025-05-21 19:35:37.272,0.2276,10,buy,349240017
'2025-05-21 19:35:38.302,0.22763,15,buy,349240018
'2025-05-21 19:35:38.403,0.22764,3585,sell,349240019
'2025-05-21 19:35:38.477,0.22761,1000,sell,349240020
'2025-05-21 19:35:38.477,0.2276,2000,sell,349240022
'2025-05-21 19:35:42.651,0.22763,878.618811,buy,349240023
'2025-05-21 19:35:43.343,0.2276,11531.463902,sell,349240025
'2025-05-21 19:35:43.360,0.2276,23290.425872,sell,349240026
'2025-05-21 19:35:43.360,0.2276,52905.049996,sell,349240027
'2025-05-21 19:35:43.361,0.2276,6377.444898,sell,349240028
'2025-05-21 19:35:43.361,0.2276,62365.974199,sell,349240029
'2025-05-21 19:35:43.361,0.2276,13582.026236,sell,349240030
'2025-05-21 19:35:43.361,0.2276,6333.019784,sell,349240031
'2025-05-21 19:35:43.361,0.2276,21040.559869,sell,349240032
'2025-05-21 19:35:43.364,0.22756,15,sell,349240033
'2025-05-21 19:35:43.364,0.22755,1985,sell,349240034
'2025-05-21 19:35:43.364,0.22755,1000,sell,349240035
'2025-05-21 19:35:43.922,0.22759,15,buy,349240036
'2025-05-21 19:35:43.983,0.2276,10,buy,349240037
'2025-05-21 19:35:44.802,0.22763,15,buy,349240038
'2025-05-21 19:35:47.001,0.22762,674,sell,349240039
'2025-05-21 19:35:47.562,0.22761,15902,sell,349240040
'2025-05-21 19:35:47.562,0.2276,2424.686742,sell,349240043
'2025-05-21 19:35:48.172,0.2276,87.815587,buy,349240044
'2025-05-21 19:35:53.920,0.2275,1018.2368,sell,349240045
'2025-05-21 19:35:55.042,0.2275,3375.43631,sell,349240046
'2025-05-21 19:35:59.129,0.22746,302.58202,sell,349240048
'2025-05-21 19:35:59.141,0.22745,1679.50129,sell,349240050
'2025-05-21 19:35:59.143,0.22745,0.000008,sell,349240051
'2025-05-21 19:36:01.007,0.22742,4363,buy,349240052
'2025-05-21 19:36:01.007,0.22742,1332.946118,buy,349240053
'2025-05-21 19:36:01.055,0.22745,10,buy,349240054
'2025-05-21 19:36:01.509,0.22748,5641.033231,buy,349240055
'2025-05-21 19:36:01.515,0.2275,10,buy,349240056
'2025-05-21 19:36:02.537,0.22755,293,buy,349240058
'2025-05-21 19:36:02.542,0.22755,0.317813,buy,349240059
'2025-05-21 19:36:02.542,0.22759,15,buy,349240060
'2025-05-21 19:36:02.963,0.22757,1164.849813,sell,349240061
'2025-05-21 19:36:02.963,0.22756,170.412892,sell,349240063
'2025-05-21 19:36:03.982,0.22755,10,sell,349240064
'2025-05-21 19:36:04.087,0.22755,10,buy,349240065
'2025-05-21 19:36:06.366,0.2276,4305.043064,buy,349240066
'2025-05-21 19:36:06.534,0.2276,14966.730233,buy,349240067
'2025-05-21 19:36:06.535,0.2276,60139.946922,buy,349240068
'2025-05-21 19:36:06.536,0.2276,24053.988287,buy,349240069
'2025-05-21 19:36:06.536,0.2276,26972.058932,buy,349240070
'2025-05-21 19:36:06.536,0.2276,4366,buy,349240071
'2025-05-21 19:36:06.537,0.2276,10600.730233,buy,349240073
'2025-05-21 19:36:06.562,0.22765,10,buy,349240074
'2025-05-21 19:36:07.042,0.22767,4998.418277,buy,349240077
'2025-05-21 19:36:07.303,0.2277,119,buy,349240079
'2025-05-21 19:36:07.305,0.2277,0.172808,buy,349240080
'2025-05-21 19:36:07.542,0.22775,10,buy,349240081
'2025-05-21 19:36:08.328,0.22778,4092.3888,buy,349240082
'2025-05-21 19:36:08.332,0.2278,10,buy,349240083
'2025-05-21 19:36:10.063,0.2278,3056.177829,sell,349240085
'2025-05-21 19:36:10.764,0.2278,10,buy,349240086
'2025-05-21 19:36:11.088,0.22782,2056.489438,sell,349240087
'2025-05-21 19:36:11.274,0.22785,7323.060654,buy,349240090
'2025-05-21 19:36:11.274,0.22788,5709.119975,buy,349240092
'2025-05-21 19:36:12.221,0.22789,168.571794,buy,349240094
'2025-05-21 19:36:12.221,0.2279,2545.400606,buy,349240098
'2025-05-21 19:36:12.269,0.2279,98,buy,349240101
'2025-05-21 19:36:12.882,0.22791,112.087363,buy,349240104
'2025-05-21 19:36:12.882,0.22792,348.336342,buy,349240110
'2025-05-21 19:36:12.882,0.22793,999.654788,buy,349240117
'2025-05-21 19:36:13.868,0.22793,1939.963387,sell,349240118
'2025-05-21 19:36:14.260,0.22793,43,sell,349240119
'2025-05-21 19:36:14.266,0.22793,399.83246,sell,349240120
'2025-05-21 19:36:15.348,0.22791,7038.217361,buy,349240121
'2025-05-21 19:36:17.342,0.22791,26.385541,sell,349240122
'2025-05-21 19:36:17.978,0.22794,890.608522,buy,349240127
'2025-05-21 19:36:17.980,0.22795,359.41911,buy,349240130
'2025-05-21 19:36:17.980,0.22796,2358.355811,buy,349240135
'2025-05-21 19:36:18.052,0.22796,1858.536374,sell,349240136
'2025-05-21 19:36:18.241,0.22797,54.414446,buy,349240139
'2025-05-21 19:36:18.344,0.22798,1171,sell,349240140
'2025-05-21 19:36:18.376,0.22799,333.501099,buy,349240149
'2025-05-21 19:36:18.453,0.228,403.93703,buy,349240157
'2025-05-21 19:36:18.453,0.228,6860.169295,buy,349240220
'2025-05-21 19:36:18.453,0.228,3053.284532,buy,349240222
'2025-05-21 19:36:18.456,0.22801,10.769961,buy,349240223
