ts,price,size,side,trade_id
'2025-05-21 19:35:29.690,2488.1,0.023154,buy,586718529
'2025-05-21 19:35:29.690,2488.29,0.0399,buy,586718530
'2025-05-21 19:35:29.690,2488.3,0.681,buy,586718531
'2025-05-21 19:35:29.690,2488.4,0.0001,buy,586718532
'2025-05-21 19:35:29.690,2488.41,0.08025,buy,586718534
'2025-05-21 19:35:29.690,2488.5,0.681,buy,586718535
'2025-05-21 19:35:29.690,2488.54,0.0999,buy,586718536
'2025-05-21 19:35:29.690,2488.56,0.000406,buy,586718537
'2025-05-21 19:35:29.690,2488.62,0.188174,buy,586718538
'2025-05-21 19:35:29.690,2488.63,1,buy,586718539
'2025-05-21 19:35:29.690,2488.65,0.36727,buy,586718540
'2025-05-21 19:35:30.989,2488.8,0.0001,buy,586718541
'2025-05-21 19:35:31.168,2488.8,0.0001,sell,586718542
'2025-05-21 19:35:31.168,2488.79,0.0001,sell,586718543
'2025-05-21 19:35:31.168,2488.63,0.01977,sell,586718544
'2025-05-21 19:35:31.168,2488.63,0.99323,sell,586718545
'2025-05-21 19:35:31.168,2488.61,0.00015,sell,586718546
'2025-05-21 19:35:31.168,2488.58,0.008,sell,586718547
'2025-05-21 19:35:31.168,2488.5,0.681,sell,586718548
'2025-05-21 19:35:31.168,2488.4,0.186127,sell,586718550
'2025-05-21 19:35:31.168,2488.39,2.655,sell,586718551
'2025-05-21 19:35:31.168,2488.36,0.00015,sell,586718552
'2025-05-21 19:35:31.168,2488.31,0.167963,sell,586718553
'2025-05-21 19:35:31.168,2488.31,0.312037,sell,586718554
'2025-05-21 19:35:31.168,2488.3,0.681,sell,586718555
'2025-05-21 19:35:31.171,2488.26,0.66,sell,586718557
'2025-05-21 19:35:31.171,2488.26,0.54,sell,586718558
'2025-05-21 19:35:31.171,2488.21,0.66,sell,586718559
'2025-05-21 19:35:31.171,2488.16,0.100036,sell,586718560
'2025-05-21 19:35:31.171,2488.13,0.57,sell,586718561
'2025-05-21 19:35:31.171,2488.12,0.4,sell,586718562
'2025-05-21 19:35:31.174,2488.09,0.803214,sell,586718563
'2025-05-21 19:35:31.174,2488.02,0.796786,sell,586718565
'2025-05-21 19:35:31.175,2488.02,0.447,sell,586718566
'2025-05-21 19:35:31.182,2488.02,0.598,sell,586718567
'2025-05-21 19:35:31.343,2488.21,3.138,buy,586718568
'2025-05-21 19:35:34.820,2488.8,3.786412,buy,586718577
'2025-05-21 19:35:34.820,2488.9,0.681,buy,586718578
'2025-05-21 19:35:34.820,2488.91,0.00015,buy,586718579
'2025-05-21 19:35:34.820,2488.96,1.840211,buy,586718580
'2025-05-21 19:35:37.264,2488.96,0.054426,buy,586718582
'2025-05-21 19:35:37.265,2489,0.002369,buy,586718583
'2025-05-21 19:35:38.330,2489.29,2.17075,sell,586718586
'2025-05-21 19:35:38.642,2489.29,0.884,sell,586718588
'2025-05-21 19:35:40.206,2489.3,0.084769,buy,586718589
'2025-05-21 19:35:40.682,2489.49,4.23183,buy,586718594
'2025-05-21 19:35:40.682,2489.5,0.681,buy,586718595
'2025-05-21 19:35:40.682,2489.6,0.6811,buy,586718597
'2025-05-21 19:35:40.682,2489.61,0.005638,buy,586718598
'2025-05-21 19:35:40.682,2489.66,0.00015,buy,586718599
'2025-05-21 19:35:40.682,2489.68,0.142572,buy,586718601
'2025-05-21 19:35:40.682,2489.7,0.187106,buy,586718602
'2025-05-21 19:35:40.682,2489.71,0.072666,buy,586718603
'2025-05-21 19:35:42.769,2489.48,0.0081,sell,586718605
'2025-05-21 19:35:42.769,2489.4,0.681,sell,586718606
'2025-05-21 19:35:42.769,2489.3,0.199195,sell,586718607
'2025-05-21 19:35:43.305,2489.3,0.2941,sell,586718610
'2025-05-21 19:35:43.363,2489.2,0.0001,sell,586718611
'2025-05-21 19:35:43.363,2489.02,0.186562,sell,586718612
'2025-05-21 19:35:43.363,2489.01,0.0404,sell,586718613
'2025-05-21 19:35:43.363,2489,1.372938,sell,586718614
'2025-05-21 19:35:43.368,2489,3.138,sell,586718615
'2025-05-21 19:35:46.941,2489.19,0.002,sell,586718616
'2025-05-21 19:35:47.640,2489.31,0.008,sell,586718617
'2025-05-21 19:35:49.068,2489.2,0.002,sell,586718618
'2025-05-21 19:35:49.152,2489.2,0.0061,sell,586718620
'2025-05-21 19:35:49.487,2488.87,0.019987,buy,586718621
'2025-05-21 19:35:49.715,2488.87,0.069188,buy,586718622
'2025-05-21 19:35:51.411,2488.86,0.002,sell,586718624
'2025-05-21 19:35:51.465,2488.87,0.00981,buy,586718625
'2025-05-21 19:35:51.549,2488.87,1.042121,buy,586718626
'2025-05-21 19:35:52.068,2488.86,0.001,sell,586718627
'2025-05-21 19:35:52.302,2488.87,0.000401,buy,586718628
'2025-05-21 19:35:52.904,2488.87,2.558675,buy,586718630
'2025-05-21 19:35:52.904,2488.9,0.681,buy,586718631
'2025-05-21 19:35:52.904,2489,0.681,buy,586718632
'2025-05-21 19:35:53.039,2489,0.437024,sell,586718633
'2025-05-21 19:35:53.039,2488.86,0.003976,sell,586718634
'2025-05-21 19:35:53.048,2488.86,0.094,sell,586718635
'2025-05-21 19:35:53.048,2488.8,0.147,sell,586718637
'2025-05-21 19:35:53.900,2488.8,1.124,sell,586718639
'2025-05-21 19:35:53.900,2488.79,0.06729,sell,586718640
'2025-05-21 19:35:53.900,2488.7,0.681,sell,586718641
'2025-05-21 19:35:53.902,2488.61,1.237183,sell,586718643
'2025-05-21 19:35:53.902,2488.6,0.084769,sell,586718644
'2025-05-21 19:35:53.902,2488.57,0.000406,sell,586718645
'2025-05-21 19:35:53.902,2488.56,0.401649,sell,586718646
'2025-05-21 19:35:53.902,2488.53,0.401622,sell,586718647
'2025-05-21 19:35:53.902,2488.49,0.0805,sell,586718648
'2025-05-21 19:35:53.902,2488.48,0.101163,sell,586718649
'2025-05-21 19:35:53.902,2488.46,0.005638,sell,586718650
'2025-05-21 19:35:53.902,2488.41,0.093281,sell,586718651
'2025-05-21 19:35:53.902,2488.4,2.6551,sell,586718653
'2025-05-21 19:35:53.902,2488.36,0.099706,sell,586718655
'2025-05-21 19:35:53.903,2488.27,1.122179,sell,586718656
'2025-05-21 19:35:53.903,2488.27,0.4,sell,586718657
'2025-05-21 19:35:53.905,2488.27,1.543367,sell,586718658
'2025-05-21 19:35:53.905,2488.24,0.056633,sell,586718659
'2025-05-21 19:35:53.905,2488.24,0.104067,sell,586718660
'2025-05-21 19:35:53.905,2488.18,1.703183,sell,586718663
'2025-05-21 19:35:53.905,2488.15,0.000606,sell,586718665
'2025-05-21 19:35:53.905,2488.13,1.14,sell,586718667
'2025-05-21 19:35:53.905,2488.12,0.1607,sell,586718668
'2025-05-21 19:35:53.905,2488.11,0.091444,sell,586718670
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718671
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718672
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718673
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718674
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718675
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718676
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718677
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718678
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718679
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718680
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718681
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718682
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718683
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718684
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718685
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718686
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718687
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718688
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718689
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718690
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718691
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718692
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718693
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718694
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718695
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718696
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718697
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718698
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718699
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718700
'2025-05-21 19:35:53.923,2488.25,0.000562,buy,586718701
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718702
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718703
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718704
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718705
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718706
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718707
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718708
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718709
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718710
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718711
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718712
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718713
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718714
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718715
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718716
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718717
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718718
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718719
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718720
'2025-05-21 19:35:53.924,2488.25,0.000562,buy,586718721
'2025-05-21 19:35:53.938,2488.25,0.13566,buy,586718722
'2025-05-21 19:35:54.946,2488.24,0.0001,sell,586718723
'2025-05-21 19:35:54.946,2488.18,0.020443,sell,586718724
'2025-05-21 19:35:55.067,2488,2.487296,sell,586718729
'2025-05-21 19:35:55.067,2487.99,0.276684,sell,586718731
'2025-05-21 19:35:55.067,2487.94,0.000406,sell,586718732
'2025-05-21 19:35:55.067,2487.9,0.084769,sell,586718733
'2025-05-21 19:35:55.067,2487.81,0.04664,sell,586718734
'2025-05-21 19:35:55.067,2487.8,0.549205,sell,586718735
'2025-05-21 19:35:55.238,2487.91,0.401737,buy,586718736
'2025-05-21 19:35:55.238,2487.91,0.401767,buy,586718737
'2025-05-21 19:35:55.284,2487.91,7.422426,buy,586718740
'2025-05-21 19:35:55.786,2488,0.125953,buy,586718741
'2025-05-21 19:35:56.764,2487.92,0.008,buy,586718742
'2025-05-21 19:35:57.278,2488,0.0081,buy,586718744
'2025-05-21 19:35:57.441,2488.25,0.002733,buy,586718745
'2025-05-21 19:35:57.513,2488.39,0.679649,sell,586718746
'2025-05-21 19:35:57.542,2488.4,0.008035,buy,586718747
'2025-05-21 19:35:58.059,2488.41,0.278,buy,586718748
'2025-05-21 19:36:00.208,2488.1,0.029251,sell,586718749
'2025-05-21 19:36:00.419,2488.11,0.001,buy,586718750
'2025-05-21 19:36:00.427,2488.11,0.007,buy,586718751
'2025-05-21 19:36:00.984,2488.4,0.000177,buy,586718753
'2025-05-21 19:36:01.007,2488.4,0.007923,buy,586718754
'2025-05-21 19:36:01.052,2488.6,0.084769,buy,586718755
'2025-05-21 19:36:01.137,2488.8,0.0001,buy,586718756
'2025-05-21 19:36:01.306,2489,1.089404,buy,586718759
'2025-05-21 19:36:01.306,2489.1,0.681,buy,586718760
'2025-05-21 19:36:01.306,2489.18,0.000406,buy,586718761
'2025-05-21 19:36:01.306,2489.19,0.0402,buy,586718762
'2025-05-21 19:36:01.306,2489.2,0.533394,buy,586718764
'2025-05-21 19:36:02.518,2489.17,0.059288,sell,586718765
'2025-05-21 19:36:02.535,2489.18,0.008,buy,586718766
'2025-05-21 19:36:02.535,2489.2,0.0001,buy,586718767
'2025-05-21 19:36:02.537,2489.3,0.084769,buy,586718768
'2025-05-21 19:36:03.491,2489.6,3.588362,buy,586718775
'2025-05-21 19:36:03.491,2489.6,0.708883,buy,586718776
'2025-05-21 19:36:03.491,2489.61,0.005638,buy,586718777
'2025-05-21 19:36:04.048,2489.6,0.0403,sell,586718780
