ts,price,size,side,trade_id
'2025-05-21 19:35:28.681,0.8304,91.105,buy,83712910
'2025-05-21 19:35:28.681,0.8306,1113.136,buy,83712912
'2025-05-21 19:35:28.681,0.8307,508.592,buy,83712915
'2025-05-21 19:35:29.172,0.8305,6.02,buy,83712916
'2025-05-21 19:35:32.971,0.8304,1.004,sell,83712917
'2025-05-21 19:35:32.971,0.8303,63.471,sell,83712919
'2025-05-21 19:35:33.586,0.8305,38.214,buy,83712920
'2025-05-21 19:35:36.249,0.8305,142.088,buy,83712921
'2025-05-21 19:35:37.313,0.8304,350.293,buy,83712922
'2025-05-21 19:35:37.445,0.8304,2,sell,83712923
'2025-05-21 19:35:38.551,0.8305,30.389,buy,83712924
'2025-05-21 19:35:38.573,0.8306,22.043,buy,83712926
'2025-05-21 19:35:38.574,0.8306,67.214,buy,83712927
'2025-05-21 19:35:38.581,0.8307,1.004,buy,83712928
'2025-05-21 19:35:38.687,0.8308,117.262,buy,83712931
'2025-05-21 19:35:38.829,0.8308,350.293,sell,83712932
'2025-05-21 19:35:38.918,0.8306,962.62,sell,83712934
'2025-05-21 19:35:39.381,0.8309,6.086,buy,83712936
'2025-05-21 19:35:39.381,0.831,11.586,buy,83712937
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712942
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712943
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712944
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712945
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712946
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712947
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712948
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712949
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712950
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712951
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712952
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712953
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712954
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712955
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712956
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712957
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712958
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712959
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712960
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712961
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712962
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712963
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712964
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712965
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712966
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712967
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712968
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712969
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712970
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712971
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712972
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712973
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712974
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712975
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712976
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712977
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712978
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712979
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712980
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712981
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712982
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712983
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712984
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712985
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712986
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712987
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712988
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712989
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712990
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712991
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712992
'2025-05-21 19:35:39.381,0.831,17.672,buy,83712995
'2025-05-21 19:35:39.381,0.831,17.672,buy,83713000
'2025-05-21 19:35:39.414,0.8309,31.091,sell,83713001
'2025-05-21 19:35:41.767,0.8307,12.04,sell,83713002
'2025-05-21 19:35:42.815,0.8307,931.926,sell,83713005
'2025-05-21 19:35:42.817,0.8307,398.946,sell,83713007
'2025-05-21 19:35:42.817,0.8306,4145.523,sell,83713017
'2025-05-21 19:35:42.820,0.8307,846.842,sell,83713018
'2025-05-21 19:35:42.820,0.8306,338.567,sell,83713024
'2025-05-21 19:35:42.826,0.8306,60.379,sell,83713025
'2025-05-21 19:35:42.831,0.8307,120.38,sell,83713026
'2025-05-21 19:35:43.108,0.8306,3.473,sell,83713027
'2025-05-21 19:35:44.182,0.8308,9.888,buy,83713028
'2025-05-21 19:35:46.141,0.8308,84.513,buy,83713029
'2025-05-21 19:35:47.068,0.8309,348.741,buy,83713034
'2025-05-21 19:35:47.068,0.831,805.195,buy,83713060
'2025-05-21 19:35:50.586,0.8309,20.459,buy,83713061
'2025-05-21 19:35:51.733,0.8307,150,sell,83713063
'2025-05-21 19:35:56.148,0.8307,683.349,sell,83713066
'2025-05-21 19:35:56.369,0.8306,3.014,sell,83713067
'2025-05-21 19:35:56.369,0.8305,495.096,sell,83713069
'2025-05-21 19:35:56.925,0.8306,88.869,buy,83713070
'2025-05-21 19:35:57.175,0.8308,138.868,sell,83713071
'2025-05-21 19:35:57.626,0.8308,85.496,buy,83713072
'2025-05-21 19:35:57.626,0.8309,526.964,buy,83713073
'2025-05-21 19:35:57.746,0.8307,18.945,sell,83713074
'2025-05-21 19:35:58.290,0.8308,88.734,buy,83713075
'2025-05-21 19:35:58.290,0.8309,176.928,buy,83713076
'2025-05-21 19:35:59.283,0.8309,240.802,buy,83713078
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713079
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713080
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713081
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713082
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713083
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713084
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713085
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713086
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713087
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713088
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713089
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713090
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713091
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713092
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713093
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713094
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713095
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713096
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713097
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713098
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713099
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713100
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713101
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713102
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713103
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713104
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713105
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713106
'2025-05-21 19:36:00.554,0.831,1.581,buy,83713107
