ts,price,size,side,trade_id
'2025-05-21 19:35:28.978,169.12,20.132167,sell,296499717
'2025-05-21 19:35:30.069,169.1,1,sell,296499718
'2025-05-21 19:35:30.768,169.11,0.586802,buy,296499719
'2025-05-21 19:35:30.988,169.13,22.698241,buy,296499720
'2025-05-21 19:35:30.988,169.13,28.519491,buy,296499722
'2025-05-21 19:35:30.991,169.14,0.011543,buy,296499723
'2025-05-21 19:35:32.679,169.15,0.022586,sell,296499724
'2025-05-21 19:35:33.002,169.16,2.15,buy,296499725
'2025-05-21 19:35:33.002,169.17,27.38,buy,296499728
'2025-05-21 19:35:33.002,169.18,6.021796,buy,296499731
'2025-05-21 19:35:37.265,169.2,0.15,buy,296499732
'2025-05-21 19:35:37.265,169.2,0.004614,buy,296499734
'2025-05-21 19:35:38.297,169.21,2.53,buy,296499735
'2025-05-21 19:35:38.299,169.21,0.003872,buy,296499736
'2025-05-21 19:35:38.300,169.22,13.690631,buy,296499738
'2025-05-21 19:35:40.098,169.23,2,buy,296499739
'2025-05-21 19:35:40.866,169.23,0.004021,sell,296499740
'2025-05-21 19:35:41.425,169.24,47.011302,buy,296499745
'2025-05-21 19:35:43.229,169.23,2,sell,296499747
'2025-05-21 19:35:43.293,169.21,7.452621,sell,296499749
'2025-05-21 19:35:43.314,169.2,0.445116,sell,296499751
'2025-05-21 19:35:43.361,169.2,6.819841,sell,296499752
'2025-05-21 19:35:49.083,169.23,2.955083,sell,296499753
'2025-05-21 19:35:49.083,169.22,3.59,sell,296499754
'2025-05-21 19:35:49.084,169.22,7.019795,sell,296499755
'2025-05-21 19:35:49.272,169.2,0.001,sell,296499756
'2025-05-21 19:35:50.733,169.19,1.77,sell,296499757
'2025-05-21 19:35:50.923,169.19,0.003154,sell,296499758
'2025-05-21 19:35:50.923,169.18,2.176846,sell,296499760
'2025-05-21 19:35:50.923,169.18,27.834697,sell,296499761
'2025-05-21 19:35:51.029,169.16,14.773989,sell,296499763
'2025-05-21 19:35:52.720,169.16,0.217663,buy,296499764
'2025-05-21 19:35:53.280,169.15,0.2,sell,296499765
'2025-05-21 19:35:55.070,169.14,0.66,sell,296499767
'2025-05-21 19:35:55.071,169.14,2.307324,sell,296499768
'2025-05-21 19:35:56.120,169.13,1.15077,sell,296499770
'2025-05-21 19:35:59.143,169.12,0.126877,sell,296499771
'2025-05-21 19:36:01.051,169.11,0.060089,buy,296499772
'2025-05-21 19:36:01.511,169.13,0.06,buy,296499773
'2025-05-21 19:36:01.511,169.13,0.226018,buy,296499775
'2025-05-21 19:36:01.609,169.16,1.773468,buy,296499776
'2025-05-21 19:36:01.623,169.16,0.150148,buy,296499777
'2025-05-21 19:36:02.537,169.18,0.62,buy,296499779
'2025-05-21 19:36:02.537,169.18,0.002515,buy,296499780
'2025-05-21 19:36:03.229,169.2,0.9235,buy,296499781
'2025-05-21 19:36:03.229,169.2,2.2871,buy,296499785
'2025-05-21 19:36:06.377,169.2,12.598925,buy,296499786
'2025-05-21 19:36:07.033,169.22,20.303708,buy,296499792
'2025-05-21 19:36:07.078,169.24,0.29819,sell,296499793
'2025-05-21 19:36:07.304,169.25,2.77,buy,296499794
'2025-05-21 19:36:07.304,169.25,2.387427,buy,296499798
'2025-05-21 19:36:07.308,169.26,1.727528,buy,296499810
'2025-05-21 19:36:07.915,169.27,2.923,buy,296499821
'2025-05-21 19:36:07.929,169.28,0.011814,buy,296499823
'2025-05-21 19:36:08.269,169.28,0.001004,buy,296499824
'2025-05-21 19:36:08.328,169.28,1.249604,buy,296499844
'2025-05-21 19:36:08.452,169.28,0.02,sell,296499845
'2025-05-21 19:36:08.581,169.29,0.001004,buy,296499846
'2025-05-21 19:36:11.510,169.29,0.0485,buy,296499854
'2025-05-21 19:36:11.510,169.29,0.000071,buy,296499855
'2025-05-21 19:36:11.515,169.3,15.2631,buy,296499875
'2025-05-21 19:36:12.051,169.3,5.973429,buy,296499876
'2025-05-21 19:36:12.051,169.3,11.75798,buy,296499877
'2025-05-21 19:36:12.054,169.3,25.485857,buy,296499879
'2025-05-21 19:36:12.264,169.31,0.2859,buy,296499889
'2025-05-21 19:36:12.264,169.31,0.000018,buy,296499890
'2025-05-21 19:36:12.269,169.32,0.51,buy,296499911
'2025-05-21 19:36:12.270,169.32,0.000781,buy,296499912
'2025-05-21 19:36:13.297,169.33,2.59,buy,296499947
'2025-05-21 19:36:13.297,169.33,10.75,buy,296499959
'2025-05-21 19:36:13.411,169.33,0.37,sell,296499960
'2025-05-21 19:36:14.417,169.33,0.16,sell,296499961
'2025-05-21 19:36:17.273,169.33,0.068678,sell,296499962
'2025-05-21 19:36:17.331,169.33,0.477225,sell,296499963
'2025-05-21 19:36:17.979,169.32,0.07,buy,296499964
'2025-05-21 19:36:17.980,169.32,0.002114,buy,296499965
'2025-05-21 19:36:18.451,169.34,3.187414,buy,296499987
'2025-05-21 19:36:18.452,169.34,5.267933,buy,296499988
'2025-05-21 19:36:18.452,169.34,8.257642,buy,296499989
'2025-05-21 19:36:18.452,169.34,23.94939,buy,296499990
'2025-05-21 19:36:19.415,169.34,0.01,sell,296499991
'2025-05-21 19:36:19.526,169.34,1.344317,sell,296499993
'2025-05-21 19:36:19.868,169.32,0.089117,sell,296499994
'2025-05-21 19:36:21.049,169.33,0.016454,buy,296499995
'2025-05-21 19:36:21.347,169.32,0.24841,sell,296499996
'2025-05-21 19:36:23.325,169.31,0.014882,sell,296499997
'2025-05-21 19:36:23.349,169.3,0.001,sell,296499998
'2025-05-21 19:36:23.349,169.29,1.009,sell,296500000
'2025-05-21 19:36:23.350,169.29,0.002543,sell,296500001
'2025-05-21 19:36:23.350,169.28,9.481311,sell,296500003
'2025-05-21 19:36:23.629,169.27,1.421322,sell,296500006
'2025-05-21 19:36:23.662,169.26,0.011543,sell,296500007
'2025-05-21 19:36:23.694,169.25,0.001,sell,296500008
'2025-05-21 19:36:23.694,169.24,27.669646,sell,296500010
'2025-05-21 19:36:23.695,169.24,2.856925,sell,296500011
'2025-05-21 19:36:23.738,169.23,0.123535,sell,296500012
'2025-05-21 19:36:23.848,169.22,0.011543,sell,296500013
'2025-05-21 19:36:24.190,169.21,0.001188,sell,296500014
'2025-05-21 19:36:24.190,169.2,0.155614,sell,296500017
'2025-05-21 19:36:24.284,169.18,0.011543,sell,296500018
'2025-05-21 19:36:24.366,169.16,0.91098,sell,296500020
'2025-05-21 19:36:24.720,169.15,0.149167,sell,296500022
'2025-05-21 19:36:24.876,169.14,0.159895,sell,296500024
'2025-05-21 19:36:24.881,169.13,0.15077,sell,296500025
'2025-05-21 19:36:26.854,169.15,0.098237,buy,296500027
'2025-05-21 19:36:27.904,169.18,3.57647,buy,296500030
'2025-05-21 19:36:27.905,169.2,0.001,buy,296500031
'2025-05-21 19:36:27.905,169.21,8.909215,buy,296500032
'2025-05-21 19:36:27.905,169.22,35.201449,buy,296500035
'2025-05-21 19:36:27.908,169.22,8.23,buy,296500037
'2025-05-21 19:36:27.909,169.22,1.330203,buy,296500038
'2025-05-21 19:36:28.066,169.22,16.595105,sell,296500039
'2025-05-21 19:36:28.070,169.21,0.115654,sell,296500040
'2025-05-21 19:36:28.179,169.21,3.580137,buy,296500041
'2025-05-21 19:36:28.196,169.21,1.892,buy,296500042
'2025-05-21 19:36:28.682,169.21,0.720293,buy,296500043
'2025-05-21 19:36:28.690,169.21,1.07,buy,296500044
'2025-05-21 19:36:30.368,169.2,0.98611,sell,296500045
'2025-05-21 19:36:31.725,169.19,13.126894,sell,296500049
'2025-05-21 19:36:31.725,169.18,11.853106,sell,296500051
'2025-05-21 19:36:36.331,169.18,1.152736,buy,296500052
'2025-05-21 19:36:39.304,169.17,3.198751,sell,296500054
'2025-05-21 19:36:39.493,169.15,0.300605,sell,296500056
'2025-05-21 19:36:40.455,169.16,0.755171,buy,296500058
'2025-05-21 19:36:41.413,169.18,0.295583,buy,296500059
'2025-05-21 19:36:41.416,169.19,0.205302,buy,296500060
'2025-05-21 19:36:41.682,169.2,0.61074,buy,296500062
'2025-05-21 19:36:42.913,169.21,1.889214,buy,296500064
'2025-05-21 19:36:42.913,169.22,0.67,buy,296500065
'2025-05-21 19:36:42.914,169.22,6.69,buy,296500066
'2025-05-21 19:36:42.914,169.22,16.76712,buy,296500067
'2025-05-21 19:36:42.914,169.22,4.97398,buy,296500068
'2025-05-21 19:36:42.914,169.22,1.152921,buy,296500069
'2025-05-21 19:36:42.915,169.22,4.04,buy,296500070
'2025-05-21 19:36:42.915,169.22,11.548222,buy,296500072
'2025-05-21 19:36:45.446,169.24,1.280037,sell,296500074
'2025-05-21 19:36:45.812,169.25,0.293667,buy,296500075
'2025-05-21 19:36:48.435,169.24,0.006377,sell,296500079
'2025-05-21 19:36:49.432,169.24,0.013623,sell,296500080
'2025-05-21 19:36:50.180,169.26,0.538204,buy,296500082
'2025-05-21 19:36:50.598,169.27,0.724906,buy,296500085
'2025-05-21 19:36:50.601,169.28,2.008284,buy,296500087
'2025-05-21 19:36:51.411,169.29,0.011543,buy,296500088
'2025-05-21 19:36:51.411,169.3,0.004837,buy,296500090
'2025-05-21 19:36:52.275,169.31,0.59024,buy,296500091
'2025-05-21 19:36:55.061,169.33,2.456896,buy,296500094
'2025-05-21 19:36:55.063,169.34,6.360321,buy,296500098
'2025-05-21 19:36:55.064,169.35,0.835924,buy,296500108
'2025-05-21 19:36:55.782,169.34,2,buy,296500109
'2025-05-21 19:36:56.035,169.35,0.001003,buy,296500111
'2025-05-21 19:36:59.278,169.34,2.88,buy,296500113
'2025-05-21 19:36:59.321,169.35,15.584748,buy,296500116
'2025-05-21 19:36:59.323,169.36,8.727287,buy,296500132
'2025-05-21 19:36:59.332,169.36,0.44245,buy,296500133
'2025-05-21 19:36:59.420,169.36,0.148016,buy,296500135
'2025-05-21 19:36:59.420,169.37,0.466623,buy,296500152
'2025-05-21 19:37:00.264,169.37,0.27658,buy,296500160
'2025-05-21 19:37:00.269,169.38,0.318054,buy,296500171
'2025-05-21 19:37:00.269,169.39,0.305245,buy,296500183
'2025-05-21 19:37:00.438,169.39,0.21,sell,296500184
'2025-05-21 19:37:01.039,169.39,0.059091,buy,296500185
'2025-05-21 19:37:01.437,169.37,0.07,sell,296500186
'2025-05-21 19:37:02.625,169.38,1.416932,sell,296500187
'2025-05-21 19:37:03.001,169.34,0.118042,buy,296500188
'2025-05-21 19:37:03.589,169.33,0.559082,sell,296500190
'2025-05-21 19:37:05.831,169.32,1.135346,buy,296500192
'2025-05-21 19:37:05.832,169.33,6.473914,buy,296500193
'2025-05-21 19:37:06.871,169.35,3.75633,buy,296500195
'2025-05-21 19:37:06.952,169.37,0.48654,buy,296500198
'2025-05-21 19:37:06.996,169.39,1.771479,buy,296500199
'2025-05-21 19:37:07.383,169.39,0.296076,buy,296500200
'2025-05-21 19:37:07.383,169.4,2.974258,buy,296500227
'2025-05-21 19:37:07.383,169.4,26.511696,buy,296500228
'2025-05-21 19:37:07.383,169.4,72.29,buy,296500229
'2025-05-21 19:37:07.383,169.4,10.17,buy,296500230
'2025-05-21 19:37:07.384,169.4,16.986836,buy,296500231
'2025-05-21 19:37:07.385,169.4,11.901916,buy,296500232
'2025-05-21 19:37:07.385,169.4,7.172748,buy,296500233
'2025-05-21 19:37:07.385,169.4,18.705635,buy,296500237
'2025-05-21 19:37:07.385,169.41,0.948071,buy,296500252
'2025-05-21 19:37:07.387,169.42,4.262751,buy,296500308
'2025-05-21 19:37:07.388,169.42,7.889451,buy,296500309
'2025-05-21 19:37:07.393,169.42,0.749059,buy,296500311
'2025-05-21 19:37:07.393,169.42,0.22326,buy,296500312
'2025-05-21 19:37:07.393,169.43,4.967161,buy,296500324
'2025-05-21 19:37:07.396,169.44,0.945476,buy,296500355
'2025-05-21 19:37:07.397,169.44,17.450161,buy,296500358
'2025-05-21 19:37:07.397,169.45,4.693081,buy,296500382
'2025-05-21 19:37:07.398,169.45,2.092243,buy,296500383
'2025-05-21 19:37:07.401,169.46,4.487552,buy,296500394
'2025-05-21 19:37:07.405,169.46,10.294622,buy,296500396
'2025-05-21 19:37:07.438,169.46,0.29819,sell,296500397
'2025-05-21 19:37:07.443,169.46,0.29819,sell,296500398
'2025-05-21 19:37:07.479,169.47,2,buy,296500416
'2025-05-21 19:37:07.496,169.47,0.014161,buy,296500417
'2025-05-21 19:37:07.561,169.46,0.059094,sell,296500418
'2025-05-21 19:37:07.894,169.46,2.62,sell,296500421
'2025-05-21 19:37:07.903,169.46,0.002053,sell,296500422
'2025-05-21 19:37:08.150,169.44,2.15,sell,296500424
'2025-05-21 19:37:08.482,169.44,0.146579,sell,296500425
'2025-05-21 19:37:09.445,169.41,0.69,sell,296500428
'2025-05-21 19:37:09.716,169.42,2.096454,buy,296500430
'2025-05-21 19:37:09.792,169.44,27.645539,sell,296500435
'2025-05-21 19:37:09.792,169.43,14.084748,sell,296500438
'2025-05-21 19:37:09.995,169.43,2.950984,sell,296500439
'2025-05-21 19:37:11.055,169.42,1.08905,buy,296500441
'2025-05-21 19:37:11.560,169.45,2.275382,buy,296500445
'2025-05-21 19:37:13.078,169.45,1.439525,buy,296500447
'2025-05-21 19:37:13.083,169.46,0.06,buy,296500448
'2025-05-21 19:37:13.084,169.46,0.004913,buy,296500449
'2025-05-21 19:37:13.393,169.48,3.921804,buy,296500465
'2025-05-21 19:37:15.221,169.48,1.34,buy,296500466
'2025-05-21 19:37:15.445,169.48,0.02,sell,296500467
'2025-05-21 19:37:15.699,169.49,0.001003,buy,296500468
'2025-05-21 19:37:16.433,169.48,36.9,buy,296500471
'2025-05-21 19:37:16.865,169.49,63.870375,buy,296500493
'2025-05-21 19:37:16.870,169.5,4,buy,296500539
'2025-05-21 19:37:16.870,169.5,6,buy,296500540
'2025-05-21 19:37:16.870,169.5,2.30029,buy,296500541
'2025-05-21 19:37:16.870,169.5,8,buy,296500542
'2025-05-21 19:37:16.870,169.5,14,buy,296500571
'2025-05-21 19:37:16.871,169.5,4.57248,buy,296500572
'2025-05-21 19:37:16.873,169.5,0.000004,buy,296500573
'2025-05-21 19:37:17.444,169.5,0.15,sell,296500574
'2025-05-21 19:37:17.482,169.51,0.087975,buy,296500580
'2025-05-21 19:37:17.827,169.51,0.826601,buy,296500587
'2025-05-21 19:37:17.914,169.51,0.10481,sell,296500588
'2025-05-21 19:37:17.919,169.51,0.09847,sell,296500589
'2025-05-21 19:37:17.936,169.51,0.113107,sell,296500590
'2025-05-21 19:37:17.979,169.51,0.072804,sell,296500591
'2025-05-21 19:37:18.483,169.51,0.648929,sell,296500592
'2025-05-21 19:37:18.483,169.5,0.001,sell,296500593
'2025-05-21 19:37:18.584,169.49,0.249064,sell,296500594
'2025-05-21 19:37:18.939,169.5,0.098406,buy,296500596
'2025-05-21 19:37:18.939,169.51,0.048219,buy,296500597
'2025-05-21 19:37:19.501,169.5,0.150489,sell,296500598
'2025-05-21 19:37:19.580,169.5,1.196164,sell,296500601
'2025-05-21 19:37:21.750,169.48,30.434379,sell,296500603
'2025-05-21 19:37:21.953,169.46,0.29819,buy,296500604
'2025-05-21 19:37:23.625,169.48,0.118589,buy,296500606
'2025-05-21 19:37:24.356,169.49,0.3,sell,296500607
'2025-05-21 19:37:25.288,169.49,1.652015,sell,296500608
'2025-05-21 19:37:26.931,169.46,0.605369,sell,296500610
'2025-05-21 19:37:26.947,169.45,1.012543,sell,296500613
'2025-05-21 19:37:27.380,169.43,0.44661,sell,296500614
'2025-05-21 19:37:28.075,169.43,29.701251,buy,296500618
'2025-05-21 19:37:31.451,169.44,20.8315,buy,296500621
'2025-05-21 19:37:31.458,169.45,0.001,buy,296500622
'2025-05-21 19:37:31.460,169.46,0.215787,buy,296500623
'2025-05-21 19:37:32.014,169.47,0.41,sell,296500624
'2025-05-21 19:37:33.848,169.48,1.002367,buy,296500627
'2025-05-21 19:37:34.860,169.47,0.099523,sell,296500628
'2025-05-21 19:37:34.860,169.46,0.146482,sell,296500630
'2025-05-21 19:37:36.681,169.45,0.309526,sell,296500632
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500634
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500636
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500637
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500640
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500644
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500646
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500647
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500648
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500649
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500651
'2025-05-21 19:37:36.881,169.43,5.459131,buy,296500652
'2025-05-21 19:37:36.881,169.43,2.393154,buy,296500653
'2025-05-21 19:37:36.881,169.44,3.065977,buy,296500654
'2025-05-21 19:37:36.881,169.44,5.459131,buy,296500655
'2025-05-21 19:37:36.881,169.44,5.459131,buy,296500656
'2025-05-21 19:37:36.881,169.44,5.459131,buy,296500657
'2025-05-21 19:37:36.881,169.44,4.82663,buy,296500658
'2025-05-21 19:37:36.881,169.45,0.632501,buy,296500659
'2025-05-21 19:37:39.004,169.43,0.05,buy,296500660
'2025-05-21 19:37:40.527,169.42,1.613861,sell,296500663
'2025-05-21 19:37:41.705,169.41,0.266142,sell,296500666
'2025-05-21 19:37:41.707,169.4,46.676153,sell,296500669
'2025-05-21 19:37:42.681,169.39,0.29815,sell,296500670
'2025-05-21 19:37:42.919,169.39,0.00153,sell,296500672
'2025-05-21 19:37:43.594,169.37,0.308058,sell,296500674
'2025-05-21 19:37:43.668,169.36,0.060876,buy,296500675
'2025-05-21 19:37:43.815,169.36,0.29819,buy,296500676
'2025-05-21 19:37:43.815,169.36,25.88181,buy,296500678
'2025-05-21 19:37:43.815,169.37,24.021942,buy,296500679
'2025-05-21 19:37:43.817,169.38,24.58,buy,296500680
'2025-05-21 19:37:43.818,169.39,8.043311,buy,296500681
'2025-05-21 19:37:43.818,169.39,0.007053,buy,296500682
'2025-05-21 19:37:43.818,169.4,37.486427,buy,296500687
'2025-05-21 19:37:43.818,169.41,0.29819,buy,296500688
'2025-05-21 19:37:43.818,169.41,2,buy,296500689
'2025-05-21 19:37:43.820,169.41,1.95217,buy,296500690
'2025-05-21 19:37:43.820,169.41,0.011543,buy,296500691
'2025-05-21 19:37:43.825,169.42,24.938286,buy,296500694
'2025-05-21 19:37:45.293,169.43,0.003779,buy,296500695
'2025-05-21 19:37:45.293,169.45,0.012543,buy,296500697
'2025-05-21 19:37:45.293,169.47,0.160702,buy,296500698
'2025-05-21 19:37:49.136,169.48,0.16232,buy,296500700
'2025-05-21 19:37:49.138,169.49,1,buy,296500701
'2025-05-21 19:37:49.138,169.5,0.170909,buy,296500704
'2025-05-21 19:37:49.138,169.51,51.92789,buy,296500710
'2025-05-21 19:37:49.138,169.52,34.231624,buy,296500735
'2025-05-21 19:37:49.139,169.52,6.177849,buy,296500736
'2025-05-21 19:37:49.139,169.53,29.204043,buy,296500752
'2025-05-21 19:37:49.143,169.54,0.001,buy,296500753
'2025-05-21 19:37:49.143,169.54,0.82314,buy,296500758
'2025-05-21 19:37:49.148,169.54,3.137902,buy,296500775
'2025-05-21 19:37:49.149,169.54,4.086786,buy,296500776
'2025-05-21 19:37:49.149,169.54,2.060513,buy,296500777
'2025-05-21 19:37:49.154,169.54,0.29819,sell,296500778
'2025-05-21 19:37:49.158,169.55,14.847251,buy,296500799
'2025-05-21 19:37:49.161,169.56,4.508908,buy,296500807
'2025-05-21 19:37:49.161,169.57,12.774039,buy,296500814
'2025-05-21 19:37:49.173,169.57,1.79405,buy,296500820
'2025-05-21 19:37:49.206,169.56,0.095508,sell,296500821
'2025-05-21 19:37:49.206,169.57,0.011794,buy,296500822
'2025-05-21 19:37:49.232,169.56,0.002268,sell,296500823
'2025-05-21 19:37:49.246,169.56,0.002268,sell,296500824
'2025-05-21 19:37:49.252,169.56,0.174949,sell,296500825
'2025-05-21 19:37:49.254,169.56,0.172014,sell,296500826
'2025-05-21 19:37:49.255,169.56,0.029699,sell,296500827
'2025-05-21 19:37:49.266,169.56,1.573246,sell,296500829
'2025-05-21 19:37:49.272,169.57,0.353836,buy,296500830
'2025-05-21 19:37:49.276,169.56,8.987089,sell,296500833
'2025-05-21 19:37:49.286,169.55,0.001,sell,296500834
'2025-05-21 19:37:49.286,169.54,0.223706,sell,296500835
'2025-05-21 19:37:49.303,169.54,1.660731,sell,296500836
'2025-05-21 19:37:49.314,169.54,0.296974,sell,296500837
'2025-05-21 19:37:49.325,169.54,0.17268,sell,296500838
'2025-05-21 19:37:49.325,169.54,1.578133,sell,296500840
'2025-05-21 19:37:49.325,169.54,0.029646,sell,296500841
'2025-05-21 19:37:49.325,169.54,0.23776,sell,296500842
'2025-05-21 19:37:49.325,169.54,0.036244,sell,296500843
'2025-05-21 19:37:49.424,169.54,0.344336,sell,296500844
'2025-05-21 19:37:49.424,169.54,0.048337,sell,296500845
'2025-05-21 19:37:49.543,169.55,0.001002,buy,296500846
'2025-05-21 19:37:49.663,169.55,23.670479,buy,296500851
'2025-05-21 19:37:50.466,169.54,0.22,sell,296500852
'2025-05-21 19:37:50.534,169.55,0.820478,sell,296500853
'2025-05-21 19:37:51.360,169.55,0.001,sell,296500854
'2025-05-21 19:37:51.492,169.55,0.01,sell,296500855
'2025-05-21 19:37:52.468,169.55,0.05,sell,296500856
'2025-05-21 19:37:52.901,169.55,1,sell,296500859
'2025-05-21 19:37:56.513,169.56,6.901126,buy,296500861
'2025-05-21 19:37:57.472,169.56,0.09,sell,296500862
'2025-05-21 19:37:57.644,169.57,0.294863,buy,296500863
'2025-05-21 19:37:57.973,169.57,24.58,buy,296500873
'2025-05-21 19:37:57.973,169.57,23.439992,buy,296500877
'2025-05-21 19:37:58.474,169.58,6.842742,buy,296500895
'2025-05-21 19:37:59.365,169.59,0.29819,buy,296500910
'2025-05-21 19:37:59.479,169.58,0.11,sell,296500911
'2025-05-21 19:38:00.646,169.58,9.244837,sell,296500914
'2025-05-21 19:38:03.599,169.58,0.059049,buy,296500915
'2025-05-21 19:38:03.702,169.57,3.116286,sell,296500918
'2025-05-21 19:38:03.706,169.56,8.842455,sell,296500919
'2025-05-21 19:38:03.881,169.52,18.063536,sell,296500924
'2025-05-21 19:38:03.881,169.51,9.47588,sell,296500927
'2025-05-21 19:38:03.886,169.5,14.365361,sell,296500933
'2025-05-21 19:38:05.527,169.48,0.5548,sell,296500936
'2025-05-21 19:38:05.631,169.49,0.085818,buy,296500937
'2025-05-21 19:38:05.841,169.49,0.085821,buy,296500938
'2025-05-21 19:38:06.133,169.48,0.079763,sell,296500942
'2025-05-21 19:38:06.275,169.45,0.61972,sell,296500946
'2025-05-21 19:38:06.275,169.45,0.000003,sell,296500947
'2025-05-21 19:38:07.222,169.41,0.16,sell,296500949
'2025-05-21 19:38:08.809,169.42,24.58,buy,296500955
'2025-05-21 19:38:08.809,169.42,4.659902,buy,296500956
'2025-05-21 19:38:08.809,169.43,8.851329,buy,296500957
'2025-05-21 19:38:08.814,169.45,0.330779,buy,296500960
'2025-05-21 19:38:08.816,169.46,3.152051,buy,296500962
'2025-05-21 19:38:08.817,169.47,3.998408,buy,296500963
'2025-05-21 19:38:08.818,169.47,9.35,buy,296500965
'2025-05-21 19:38:08.818,169.47,0.278925,buy,296500966
'2025-05-21 19:38:08.820,169.46,0.388573,buy,296500967
'2025-05-21 19:38:08.823,169.48,0.011543,buy,296500968
'2025-05-21 19:38:08.828,169.49,0.123535,buy,296500969
'2025-05-21 19:38:08.836,169.49,0.29819,sell,296500970
'2025-05-21 19:38:08.860,169.5,0.001,buy,296500971
'2025-05-21 19:38:08.985,169.5,8.434,sell,296500972
'2025-05-21 19:38:09.042,169.5,0.803361,buy,296500973
'2025-05-21 19:38:09.051,169.5,1.894612,buy,296500974
'2025-05-21 19:38:09.082,169.5,3.399,buy,296500976
'2025-05-21 19:38:09.727,169.49,0.01205,sell,296500977
'2025-05-21 19:38:09.863,169.5,1.179941,buy,296500979
'2025-05-21 19:38:11.917,169.52,0.011543,buy,296500980
'2025-05-21 19:38:11.917,169.53,0.166028,buy,296500981
'2025-05-21 19:38:11.917,169.54,0.0015,buy,296500982
'2025-05-21 19:38:11.917,169.55,0.14516,buy,296500983
'2025-05-21 19:38:11.918,169.55,0.324232,buy,296500984
'2025-05-21 19:38:13.183,169.54,0.029496,sell,296500985
'2025-05-21 19:38:13.465,169.55,0.125803,buy,296500986
'2025-05-21 19:38:13.856,169.54,14.94745,sell,296500990
'2025-05-21 19:38:13.864,169.53,0.318119,sell,296500991
'2025-05-21 19:38:14.394,169.51,0.27708,buy,296500993
'2025-05-21 19:38:14.394,169.51,0.000009,buy,296500994
'2025-05-21 19:38:15.010,169.52,0.035591,sell,296500995
'2025-05-21 19:38:15.309,169.53,0.61318,buy,296500997
'2025-05-21 19:38:15.309,169.55,2.123635,buy,296501001
'2025-05-21 19:38:19.610,169.54,47.802122,sell,296501004
'2025-05-21 19:38:19.613,169.53,0.001,sell,296501005
'2025-05-21 19:38:19.614,169.53,0.317115,sell,296501006
'2025-05-21 19:38:20.448,169.52,0.29819,buy,296501007
'2025-05-21 19:38:20.451,169.52,0.16223,buy,296501008
'2025-05-21 19:38:22.134,169.53,0.36826,buy,296501010
'2025-05-21 19:38:23.701,169.54,0.144734,buy,296501011
'2025-05-21 19:38:23.746,169.55,0.25,buy,296501013
'2025-05-21 19:38:23.746,169.55,0.004291,buy,296501014
'2025-05-21 19:38:23.750,169.56,0.011543,buy,296501015
'2025-05-21 19:38:23.982,169.57,0.001179,buy,296501016
'2025-05-21 19:38:24.319,169.57,1.294845,buy,296501018
'2025-05-21 19:38:24.794,169.58,0.158503,buy,296501020
'2025-05-21 19:38:24.794,169.59,0.615056,buy,296501024
'2025-05-21 19:38:24.795,169.6,12.096471,buy,296501096
'2025-05-21 19:38:24.805,169.61,5.58626,buy,296501143
'2025-05-21 19:38:25.066,169.61,0.001719,sell,296501144
'2025-05-21 19:38:26.932,169.62,0.117798,buy,296501145
'2025-05-21 19:38:27.081,169.62,1.06216,buy,296501157
'2025-05-21 19:38:27.082,169.63,3.091865,buy,296501170
'2025-05-21 19:38:27.082,169.63,4.635867,buy,296501171
'2025-05-21 19:38:27.082,169.63,2.908321,buy,296501172
'2025-05-21 19:38:27.082,169.63,2.45,buy,296501173
'2025-05-21 19:38:27.082,169.63,3.009338,buy,296501174
'2025-05-21 19:38:27.083,169.64,4.035304,buy,296501198
'2025-05-21 19:38:27.083,169.65,5.797626,buy,296501213
'2025-05-21 19:38:27.092,169.66,3.964879,buy,296501242
'2025-05-21 19:38:27.182,169.67,4.86832,buy,296501261
'2025-05-21 19:38:27.198,169.67,0.155183,buy,296501262
'2025-05-21 19:38:27.232,169.67,0.080641,sell,296501263
'2025-05-21 19:38:27.295,169.67,0.054728,sell,296501264
'2025-05-21 19:38:27.299,169.67,0.06398,sell,296501265
'2025-05-21 19:38:27.302,169.68,6.612608,buy,296501288
'2025-05-21 19:38:27.314,169.68,14.32994,sell,296501292
'2025-05-21 19:38:27.488,169.69,23.955083,buy,296501314
'2025-05-21 19:38:27.491,169.69,0.77,sell,296501316
'2025-05-21 19:38:27.564,169.7,8.515557,buy,296501350
'2025-05-21 19:38:28.124,169.71,46.767035,buy,296501382
'2025-05-21 19:38:28.795,169.71,1.112982,sell,296501384
'2025-05-21 19:38:28.810,169.71,0.176772,buy,296501385
'2025-05-21 19:38:29.027,169.71,9.38153,buy,296501387
'2025-05-21 19:38:29.093,169.72,2.94,buy,296501403
