ts,price,size,side,trade_id
'2025-05-21 19:35:38.333,14.073,1.0373,buy,70507606
'2025-05-21 19:35:41.445,14.073,1.627,buy,70507607
'2025-05-21 19:35:41.445,14.074,29.777,buy,70507608
'2025-05-21 19:35:44.083,14.071,3.627,sell,70507609
'2025-05-21 19:35:44.083,14.07,77.4,sell,70507611
'2025-05-21 19:35:44.083,14.069,0.15,sell,70507612
'2025-05-21 19:35:44.092,14.067,0.1582,sell,70507613
'2025-05-21 19:35:51.843,14.07,2.0661,buy,70507614
'2025-05-21 19:35:51.843,14.071,27.9096,buy,70507617
'2025-05-21 19:35:51.843,14.072,57.9895,buy,70507620
'2025-05-21 19:35:51.843,14.073,118.1139,buy,70507622
'2025-05-21 19:35:51.843,14.074,57.5365,buy,70507625
'2025-05-21 19:35:51.843,14.075,114.1571,buy,70507628
'2025-05-21 19:35:51.843,14.076,123.2138,buy,70507630
'2025-05-21 19:35:51.846,14.077,164.1634,buy,70507633
'2025-05-21 19:35:52.309,14.071,3.4868,sell,70507635
'2025-05-21 19:35:59.846,14.067,0.5589,sell,70507636
'2025-05-21 19:36:07.083,14.081,0.1582,buy,70507637
'2025-05-21 19:36:07.322,14.085,35.5012,buy,70507638
'2025-05-21 19:36:07.547,14.087,16.1575,sell,70507640
'2025-05-21 19:36:07.547,14.085,47.2395,sell,70507643
'2025-05-21 19:36:07.547,14.084,78.7696,sell,70507646
'2025-05-21 19:36:11.243,14.092,0.8646,buy,70507648
'2025-05-21 19:36:13.309,14.093,4.7773,sell,70507649
'2025-05-21 19:36:17.342,14.093,0.5474,sell,70507650
'2025-05-21 19:36:17.604,14.094,0.9814,buy,70507653
'2025-05-21 19:36:17.605,14.094,0.9814,buy,70507654
'2025-05-21 19:36:17.612,14.094,0.0401,buy,70507655
'2025-05-21 19:36:18.452,14.095,0.8911,buy,70507658
'2025-05-21 19:36:18.452,14.096,21.5425,buy,70507660
'2025-05-21 19:36:18.461,14.097,0.7624,buy,70507662
'2025-05-21 19:36:19.758,14.095,23.9492,sell,70507663
'2025-05-21 19:36:19.758,14.094,64,sell,70507665
'2025-05-21 19:36:19.758,14.093,18.9702,sell,70507668
'2025-05-21 19:36:19.758,14.092,154.3143,sell,70507674
'2025-05-21 19:36:19.758,14.091,117.0431,sell,70507678
'2025-05-21 19:36:19.758,14.09,157.8498,sell,70507683
'2025-05-21 19:36:19.758,14.089,177.5298,sell,70507689
'2025-05-21 19:36:19.758,14.088,274.2105,sell,70507697
'2025-05-21 19:36:19.758,14.087,274.6081,sell,70507704
